Site Name ,ST2 15 OV BUND
Site Number ,2
Logger ,Integrating Light Sensor
Logger Serial Number ,50362


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,17/04/2018 , 15:11:08,1845,1845
2,17/04/2018 , 15:21:08,2695,2695
3,17/04/2018 , 15:31:08,2430,2430
4,17/04/2018 , 15:41:08,2283,2283
5,17/04/2018 , 15:51:08,1986,1986
6,17/04/2018 , 16:01:08,2148,2148
7,17/04/2018 , 16:11:08,3083,3083
8,17/04/2018 , 16:21:08,2696,2696
9,17/04/2018 , 16:31:08,1669,1669
10,17/04/2018 , 16:41:08,473,473
11,17/04/2018 , 16:51:08,434,434
12,17/04/2018 , 17:01:08,438,438
13,17/04/2018 , 17:11:08,469,469
14,17/04/2018 , 17:21:08,327,327
15,17/04/2018 , 17:31:08,325,325
16,17/04/2018 , 17:41:08,272,272
17,17/04/2018 , 17:51:08,178,178
18,17/04/2018 , 18:01:08,150,150
19,17/04/2018 , 18:11:08,213,213
20,17/04/2018 , 18:21:08,248,248
21,17/04/2018 , 18:31:08,356,356
22,17/04/2018 , 18:41:08,457,457
23,17/04/2018 , 18:51:08,617,617
24,17/04/2018 , 19:01:08,499,499
25,17/04/2018 , 19:11:08,341,341
26,17/04/2018 , 19:21:08,251,251
27,17/04/2018 , 19:31:08,209,209
28,17/04/2018 , 19:41:08,203,203
29,17/04/2018 , 19:51:08,113,113
30,17/04/2018 , 20:01:08,66,66
31,17/04/2018 , 20:11:08,47,47
32,17/04/2018 , 20:21:08,28,28
33,17/04/2018 , 20:31:08,15,15
34,17/04/2018 , 20:41:08,6,6
35,17/04/2018 , 20:51:08,3,3
36,17/04/2018 , 21:01:08,1,1
37,17/04/2018 , 21:11:08,0,0
38,17/04/2018 , 21:21:08,0,0
39,17/04/2018 , 21:31:08,0,0
40,17/04/2018 , 21:41:08,0,0
41,17/04/2018 , 21:51:08,0,0
42,17/04/2018 , 22:01:08,0,0
43,17/04/2018 , 22:11:08,0,0
44,17/04/2018 , 22:21:08,0,0
45,17/04/2018 , 22:31:08,0,0
46,17/04/2018 , 22:41:08,0,0
47,17/04/2018 , 22:51:08,0,0
48,17/04/2018 , 23:01:08,0,0
49,17/04/2018 , 23:11:08,0,0
50,17/04/2018 , 23:21:08,0,0
51,17/04/2018 , 23:31:08,0,0
52,17/04/2018 , 23:41:08,0,0
53,17/04/2018 , 23:51:08,0,0
54,18/04/2018 , 00:01:08,0,0
55,18/04/2018 , 00:11:08,0,0
56,18/04/2018 , 00:21:08,0,0
57,18/04/2018 , 00:31:08,0,0
58,18/04/2018 , 00:41:08,0,0
59,18/04/2018 , 00:51:08,0,0
60,18/04/2018 , 01:01:08,0,0
61,18/04/2018 , 01:11:08,0,0
62,18/04/2018 , 01:21:08,0,0
63,18/04/2018 , 01:31:08,0,0
64,18/04/2018 , 01:41:08,0,0
65,18/04/2018 , 01:51:08,0,0
66,18/04/2018 , 02:01:08,0,0
67,18/04/2018 , 02:11:08,0,0
68,18/04/2018 , 02:21:08,0,0
69,18/04/2018 , 02:31:08,0,0
70,18/04/2018 , 02:41:08,0,0
71,18/04/2018 , 02:51:08,0,0
72,18/04/2018 , 03:01:08,0,0
73,18/04/2018 , 03:11:08,0,0
74,18/04/2018 , 03:21:08,0,0
75,18/04/2018 , 03:31:08,0,0
76,18/04/2018 , 03:41:08,0,0
77,18/04/2018 , 03:51:08,0,0
78,18/04/2018 , 04:01:08,0,0
79,18/04/2018 , 04:11:08,0,0
80,18/04/2018 , 04:21:08,0,0
81,18/04/2018 , 04:31:08,0,0
82,18/04/2018 , 04:41:08,0,0
83,18/04/2018 , 04:51:08,0,0
84,18/04/2018 , 05:01:08,0,0
85,18/04/2018 , 05:11:08,0,0
86,18/04/2018 , 05:21:08,0,0
87,18/04/2018 , 05:31:08,0,0
88,18/04/2018 , 05:41:08,0,0
89,18/04/2018 , 05:51:08,0,0
90,18/04/2018 , 06:01:08,0,0
91,18/04/2018 , 06:11:08,3,3
92,18/04/2018 , 06:21:08,7,7
93,18/04/2018 , 06:31:08,9,9
94,18/04/2018 , 06:41:08,18,18
95,18/04/2018 , 06:51:08,24,24
96,18/04/2018 , 07:01:08,28,28
97,18/04/2018 , 07:11:08,79,79
98,18/04/2018 , 07:21:08,90,90
99,18/04/2018 , 07:31:08,116,116
100,18/04/2018 , 07:41:08,148,148
101,18/04/2018 , 07:51:08,138,138
102,18/04/2018 , 08:01:08,189,189
103,18/04/2018 , 08:11:08,256,256
104,18/04/2018 , 08:21:08,320,320
105,18/04/2018 , 08:31:08,362,362
106,18/04/2018 , 08:41:08,381,381
107,18/04/2018 , 08:51:08,423,423
108,18/04/2018 , 09:01:08,455,455
109,18/04/2018 , 09:11:08,566,566
110,18/04/2018 , 09:21:08,657,657
111,18/04/2018 , 09:31:08,773,773
