Date Time,Wind Speed (m/s) c:1,Gust Speed (m/s) c:2,PAR (uE) c:3,Wind Direction (ø) c:4
03/08/2017 12:30:37,5.33,8.38,293.7,192.3
03/08/2017 12:40:37,6.85,11.04,1783.7,189.5
03/08/2017 12:50:37,6.85,11.04,613.7,190.9
03/08/2017 13:00:37,6.47,9.14,786.2,192.3
03/08/2017 13:10:37,6.85,11.80,1386.2,188.1
03/08/2017 13:20:37,6.47,10.66,771.2,189.5
03/08/2017 13:30:37,6.47,10.28,716.2,190.9
03/08/2017 13:40:37,6.09,9.14,1133.7,195.1
03/08/2017 13:50:37,6.85,11.04,393.7,193.7
03/08/2017 14:00:37,6.09,10.28,218.7,198.0
03/08/2017 14:10:37,5.71,7.99,346.2,196.5
03/08/2017 14:20:37,5.33,8.38,1591.2,196.5
03/08/2017 14:30:37,6.09,10.28,1541.2,199.4
03/08/2017 14:40:37,5.71,9.52,966.2,203.6
03/08/2017 14:50:37,5.33,9.52,593.7,200.8
03/08/2017 15:00:37,5.71,9.14,1533.7,199.4
03/08/2017 15:10:37,5.71,9.52,1506.2,198.0
03/08/2017 15:20:37,5.33,8.38,1461.2,205.0
03/08/2017 15:30:37,5.33,8.38,1403.7,198.0
03/08/2017 15:40:37,5.33,9.14,1368.7,196.5
03/08/2017 15:50:37,6.09,10.28,1341.2,196.5
03/08/2017 16:00:37,5.71,8.76,1166.2,207.8
03/08/2017 16:10:37,6.47,11.04,846.2,202.2
03/08/2017 16:20:37,6.09,9.90,633.7,203.6
03/08/2017 16:30:37,5.71,9.52,1246.2,207.8
03/08/2017 16:40:37,6.09,9.52,698.7,199.4
03/08/2017 16:50:37,6.85,10.66,478.7,199.4
03/08/2017 17:00:37,5.71,9.52,1391.2,202.2
03/08/2017 17:10:37,6.85,10.28,498.7,205.0
03/08/2017 17:20:37,7.23,11.42,1041.2,207.8
03/08/2017 17:30:37,6.47,9.90,301.2,214.8
03/08/2017 17:40:37,6.09,11.42,343.7,213.4
03/08/2017 17:50:37,5.33,9.52,431.2,213.4
03/08/2017 18:00:37,4.95,7.99,313.7,213.4
03/08/2017 18:10:37,5.71,9.52,273.7,203.6
03/08/2017 18:20:37,5.33,9.52,141.2,210.6
03/08/2017 18:30:37,5.33,9.90,151.2,206.4
03/08/2017 18:40:37,5.33,8.76,126.2,210.6
03/08/2017 18:50:37,5.33,9.90,468.7,205.0
03/08/2017 19:00:37,4.57,7.23,691.2,200.8
03/08/2017 19:10:37,4.95,7.61,276.2,199.4
03/08/2017 19:20:37,4.57,8.76,543.7,200.8
03/08/2017 19:30:37,5.71,9.90,53.7,199.4
03/08/2017 19:40:37,4.57,7.23,36.2,206.4
03/08/2017 19:50:37,4.95,7.99,43.7,196.5
03/08/2017 20:00:37,5.71,8.76,23.7,193.7
03/08/2017 20:10:37,5.33,7.99,13.7,193.7
03/08/2017 20:20:37,5.33,9.52,28.7,202.2
03/08/2017 20:30:37,5.33,11.04,46.2,221.8
03/08/2017 20:40:37,5.33,8.76,53.7,231.6
03/08/2017 20:50:37,4.95,8.76,28.7,224.6
03/08/2017 21:00:37,5.33,9.52,18.7,213.4
03/08/2017 21:10:37,5.33,8.76,13.7,219.0
03/08/2017 21:20:37,5.71,9.52,6.2,213.4
03/08/2017 21:30:37,5.33,8.76,6.2,216.2
03/08/2017 21:40:37,5.71,8.76,1.2,216.2
03/08/2017 21:50:37,5.33,8.76,1.2,213.4
03/08/2017 22:00:37,5.33,8.38,1.2,213.4
03/08/2017 22:10:37,6.09,10.28,1.2,212.0
03/08/2017 22:20:37,5.33,8.38,1.2,212.0
03/08/2017 22:30:37,4.95,8.38,1.2,209.2
03/08/2017 22:40:37,5.33,9.14,1.2,210.6
03/08/2017 22:50:37,4.95,8.38,1.2,205.0
03/08/2017 23:00:37,4.95,8.38,1.2,206.4
03/08/2017 23:10:37,4.95,7.61,1.2,203.6
03/08/2017 23:20:37,4.95,8.76,1.2,206.4
03/08/2017 23:30:37,5.71,9.90,1.2,209.2
03/08/2017 23:40:37,6.47,10.66,1.2,213.4
03/08/2017 23:50:37,5.71,9.52,1.2,212.0
04/08/2017 00:00:37,4.95,7.99,1.2,216.2
04/08/2017 00:10:37,4.95,8.76,1.2,214.8
04/08/2017 00:20:37,4.95,8.38,1.2,210.6
04/08/2017 00:30:37,4.95,8.38,1.2,207.8
04/08/2017 00:40:37,5.33,7.99,1.2,203.6
04/08/2017 00:50:37,4.57,7.99,1.2,210.6
04/08/2017 01:00:37,5.33,9.14,1.2,209.2
04/08/2017 01:10:37,4.95,8.38,1.2,209.2
04/08/2017 01:20:37,4.57,7.23,1.2,210.6
04/08/2017 01:30:37,4.95,8.38,1.2,207.8
04/08/2017 01:40:37,4.19,6.85,1.2,207.8
04/08/2017 01:50:37,4.57,8.38,1.2,209.2
04/08/2017 02:00:37,4.57,8.38,1.2,210.6
04/08/2017 02:10:37,4.95,7.99,1.2,213.4
04/08/2017 02:20:37,4.95,7.99,1.2,212.0
04/08/2017 02:30:37,4.95,8.38,1.2,214.8
04/08/2017 02:40:37,4.95,8.38,1.2,213.4
04/08/2017 02:50:37,4.57,7.61,1.2,216.2
04/08/2017 03:00:37,4.95,9.90,1.2,214.8
04/08/2017 03:10:37,5.33,9.52,1.2,217.6
04/08/2017 03:20:37,4.95,8.76,1.2,217.6
04/08/2017 03:30:37,5.33,8.76,1.2,217.6
04/08/2017 03:40:37,4.95,8.38,1.2,223.2
04/08/2017 03:50:37,4.95,8.38,1.2,219.0
04/08/2017 04:00:37,4.57,7.99,1.2,221.8
04/08/2017 04:10:37,4.95,9.14,1.2,219.0
04/08/2017 04:20:37,4.57,7.99,1.2,216.2
04/08/2017 04:30:37,4.57,7.23,1.2,217.6
04/08/2017 04:40:37,4.95,8.38,1.2,214.8
04/08/2017 04:50:37,4.19,7.99,1.2,213.4
04/08/2017 05:00:37,4.19,7.99,1.2,214.8
04/08/2017 05:10:37,4.95,7.61,1.2,212.0
04/08/2017 05:20:37,4.57,7.99,1.2,213.4
04/08/2017 05:30:37,4.57,7.23,1.2,210.6
04/08/2017 05:40:37,4.57,7.61,1.2,209.2
04/08/2017 05:50:37,4.95,8.38,3.7,209.2
04/08/2017 06:00:37,4.95,7.99,6.2,212.0
04/08/2017 06:10:37,4.57,6.47,13.7,212.0
04/08/2017 06:20:37,4.57,7.99,16.2,210.6
04/08/2017 06:30:37,4.57,7.99,23.7,205.0
04/08/2017 06:40:37,4.57,7.99,26.2,210.6
04/08/2017 06:50:37,4.95,8.76,48.7,207.8
04/08/2017 07:00:37,4.95,9.14,83.7,209.2
04/08/2017 07:10:37,4.19,8.38,86.2,214.8
04/08/2017 07:20:37,4.19,6.85,108.7,213.4
04/08/2017 07:30:37,4.57,8.38,116.2,213.4
04/08/2017 07:40:37,4.95,7.61,113.7,210.6
04/08/2017 07:50:37,4.95,7.99,118.7,209.2
04/08/2017 08:00:37,4.57,7.61,101.2,209.2
04/08/2017 08:10:37,4.57,7.99,131.2,209.2
04/08/2017 08:20:37,4.57,8.38,188.7,205.0
04/08/2017 08:30:37,5.33,8.38,273.7,205.0
04/08/2017 08:40:37,4.57,7.61,266.2,207.8
04/08/2017 08:50:37,5.71,8.38,361.2,210.6
04/08/2017 09:00:37,5.33,7.99,416.2,212.0
04/08/2017 09:10:37,5.33,9.52,446.2,209.2
04/08/2017 09:20:37,4.95,9.14,426.2,209.2
04/08/2017 09:30:37,5.71,9.90,493.7,209.2
04/08/2017 09:40:37,5.33,8.76,388.7,210.6
04/08/2017 09:50:37,5.71,10.28,316.2,210.6
04/08/2017 10:00:37,5.71,9.52,343.7,210.6
04/08/2017 10:10:37,6.09,9.14,436.2,207.8
04/08/2017 10:20:37,5.71,8.76,481.2,210.6
