Date Time,Pressure (KPa) c:1,Wind Speed (m/s) c:2,Gust Speed (m/s) c:3,Wind Direction (ø) c:4,PAR (µmol/m²/s) c:5,Rain (mm) c:6,Temp (°C) c:7,RH (%) c:8
06/06/2018 17:00:00,101.6850,0.50,7.55,44.9,2553.7,,23.689,43.000
06/06/2018 17:10:00,101.6750,1.01,3.52,332.7,443.7,0.00,22.896,44.600
06/06/2018 17:20:00,101.6550,1.01,2.52,345.4,508.7,0.00,23.064,43.200
06/06/2018 17:30:00,101.6650,2.01,4.53,352.4,416.2,0.00,21.772,45.800
06/06/2018 17:40:00,101.6750,1.51,3.52,355.2,381.2,0.00,21.724,45.600
06/06/2018 17:50:00,101.6850,0.50,2.52,1.4,333.7,0.00,21.748,46.400
06/06/2018 18:00:00,101.6650,1.01,2.52,355.2,606.2,0.00,22.824,45.200
06/06/2018 18:10:00,101.6350,1.01,3.02,345.4,976.2,0.00,23.593,43.000
06/06/2018 18:20:00,101.6450,1.01,2.52,355.2,911.2,0.00,24.195,40.800
06/06/2018 18:30:00,101.6550,1.01,3.02,341.2,853.7,0.00,23.713,41.000
06/06/2018 18:40:00,101.6550,1.51,3.52,355.2,828.7,0.00,23.400,40.500
06/06/2018 18:50:00,101.6550,1.51,4.03,1.4,776.2,0.00,23.569,40.700
06/06/2018 19:00:00,101.6550,1.51,4.53,1.4,698.7,0.00,23.112,39.800
06/06/2018 19:10:00,101.6450,1.51,3.02,349.6,646.2,0.00,23.328,40.200
06/06/2018 19:20:00,101.6450,1.51,4.03,353.8,598.7,0.00,23.521,40.200
06/06/2018 19:30:00,101.6550,0.00,1.51,1.4,548.7,0.00,24.171,40.500
06/06/2018 19:40:00,101.6650,0.50,2.52,25.3,498.7,0.00,24.050,39.100
06/06/2018 19:50:00,101.6550,2.01,3.52,186.7,448.7,0.00,23.545,40.200
06/06/2018 20:00:00,101.6550,1.51,4.03,179.7,403.7,0.00,23.352,40.100
06/06/2018 20:10:00,101.6550,2.52,4.53,183.9,361.2,0.00,22.992,40.000
06/06/2018 20:20:00,101.6650,2.01,4.03,182.5,318.7,0.00,22.824,39.500
06/06/2018 20:30:00,101.6750,2.01,4.03,181.1,276.2,0.00,22.465,40.200
06/06/2018 20:40:00,101.6950,2.01,4.03,185.3,236.2,0.00,22.082,41.100
06/06/2018 20:50:00,101.7050,1.51,3.52,178.3,198.7,0.00,21.700,41.200
06/06/2018 21:00:00,101.7150,1.01,2.52,168.5,158.7,0.00,20.913,42.400
06/06/2018 21:10:00,101.7350,1.51,3.02,171.3,116.2,0.00,20.484,42.500
