         Central European Time;   Temperature;  Dissolved Oxygen;  Dissolved Oxygen Saturation
           2018-07-01 00:09:00;21.430831;7.51952;85.113877
           2018-07-01 00:19:00;21.430831;7.456861;84.404636
           2018-07-01 00:29:00;21.430831;7.557416;85.542824
           2018-07-01 00:39:00;21.455828;7.582778;85.871584
           2018-07-01 00:49:00;21.605787;8.044681;91.367833
           2018-07-01 00:59:00;21.589126;7.9811;90.616447
           2018-07-01 01:09:00;21.572465;7.6746;87.108347
           2018-07-01 01:19:00;21.672426;8.319749;94.613956
           2018-07-01 01:29:00;21.680755;8.751783;99.543184
           2018-07-01 01:39:00;21.614117;8.643094;98.180181
           2018-07-01 01:49:00;21.614117;9.492401;107.827781
           2018-07-01 01:59:00;21.572465;9.616197;109.145887
           2018-07-01 02:09:00;21.580796;9.716978;110.307585
           2018-07-01 02:19:00;21.547473;9.305538;105.568671
           2018-07-01 02:29:00;21.530811;9.036834;102.487173
           2018-07-01 02:39:00;21.52248;8.506704;96.459352
           2018-07-01 02:49:00;21.505818;8.719781;98.843517
           2018-07-01 02:59:00;21.472491;8.752281;99.147761
           2018-07-01 03:09:00;21.472491;8.557799;96.944626
           2018-07-01 03:19:00;21.455828;8.689209;98.401422
           2018-07-01 03:29:00;21.422499;8.661439;98.023453
           2018-07-01 03:39:00;21.397502;8.759202;99.081711
           2018-07-01 03:49:00;21.372503;8.557117;96.748745
           2018-07-01 03:59:00;21.355837;8.878704;100.35215
           2018-07-01 04:09:00;21.322504;8.888678;100.399747
           2018-07-01 04:19:00;21.280835;8.605801;97.125763
           2018-07-01 04:29:00;21.264167;8.968362;101.184803
           2018-07-01 04:39:00;21.247498;8.72019;98.352879
           2018-07-01 04:49:00;21.197489;8.833741;99.536521
           2018-07-01 04:59:00;21.172483;8.941519;100.701815
           2018-07-01 05:09:00;21.155812;8.915513;100.376277
           2018-07-01 05:19:00;21.147476;8.795186;99.005456
           2018-07-01 05:29:00;21.105796;8.861125;99.666593
           2018-07-01 05:39:00;21.089123;8.587444;96.556886
           2018-07-01 05:49:00;21.064113;8.333738;93.658454
           2018-07-01 05:59:00;21.055776;8.604523;96.68591
           2018-07-01 06:09:00;21.039102;8.557749;96.128994
           2018-07-01 06:19:00;21.014089;8.383565;94.126347
           2018-07-01 06:29:00;20.997414;8.711055;97.771346
           2018-07-01 06:39:00;20.989076;8.834741;99.143403
