         Central European Time;   Temperature;  Dissolved Oxygen;  Dissolved Oxygen Saturation
           2018-07-01 00:04:00;21.360145;9.037984;102.098905
           2018-07-01 00:14:00;21.335228;8.96613;101.238113
           2018-07-01 00:24:00;21.318615;9.010717;101.708668
           2018-07-01 00:34:00;21.293696;9.138509;103.101101
           2018-07-01 00:44:00;21.268776;9.170459;103.411368
           2018-07-01 00:54:00;21.252163;9.126969;102.887649
           2018-07-01 01:04:00;21.235549;9.051754;102.00673
           2018-07-01 01:14:00;21.185704;9.139223;102.892414
           2018-07-01 01:24:00;21.169089;9.047966;101.832007
           2018-07-01 01:34:00;21.127548;8.973283;100.909643
           2018-07-01 01:44:00;21.102622;8.93359;100.414395
           2018-07-01 01:54:00;21.052768;8.901587;99.957284
           2018-07-01 02:04:00;21.044459;8.818778;99.01133
           2018-07-01 02:14:00;21.036149;8.706576;97.735725
           2018-07-01 02:24:00;21.01122;8.668494;97.260819
           2018-07-01 02:34:00;20.9946;8.665796;97.198948
           2018-07-01 02:44:00;20.97798;8.551103;95.881328
           2018-07-01 02:54:00;20.953049;8.602883;96.414874
           2018-07-01 03:04:00;20.936427;8.585332;96.186873
           2018-07-01 03:14:00;20.894871;8.61972;96.49358
           2018-07-01 03:24:00;20.869937;8.687064;97.199963
           2018-07-01 03:34:00;20.869937;8.567362;95.860612
           2018-07-01 03:44:00;20.853313;8.483695;94.893533
           2018-07-01 03:54:00;20.836689;8.415562;94.100763
           2018-07-01 04:04:00;20.786813;8.488037;94.818347
           2018-07-01 04:14:00;20.75356;8.482898;94.699108
           2018-07-01 04:24:00;20.711991;8.443695;94.184537
           2018-07-01 04:34:00;20.687049;8.436257;94.05546
           2018-07-01 04:44:00;20.65379;8.380612;93.374002
           2018-07-01 04:54:00;20.620529;8.339756;92.858026
           2018-07-01 05:04:00;20.587266;8.31341;92.504105
           2018-07-01 05:14:00;20.545684;8.268266;91.92648
           2018-07-01 05:24:00;20.520733;8.204826;91.176322
           2018-07-01 05:34:00;20.512416;8.082219;89.799129
           2018-07-01 05:44:00;20.504098;8.146668;90.500364
           2018-07-01 05:54:00;20.479145;8.139661;90.378052
           2018-07-01 06:04:00;20.462509;8.04784;89.329212
           2018-07-01 06:14:00;20.437554;8.095809;89.817428
           2018-07-01 06:24:00;20.429236;8.043229;89.219443
           2018-07-01 06:34:00;20.420917;8.093482;89.762135
           2018-07-01 06:44:00;20.412598;8.00689;88.787191
           2018-07-01 06:54:00;20.39596;8.059128;89.337101
           2018-07-01 07:04:00;20.38764;8.13021;90.110254
           2018-07-01 07:14:00;20.379321;8.139423;90.197545
           2018-07-01 07:24:00;20.379321;8.188089;90.736841
           2018-07-01 07:34:00;20.38764;8.348202;92.526344
           2018-07-01 07:44:00;20.38764;8.291259;91.895222
           2018-07-01 07:54:00;20.404279;8.29368;91.95226
           2018-07-01 08:04:00;20.404279;8.244225;91.403951
           2018-07-01 08:14:00;20.404279;8.209124;91.014785
           2018-07-01 08:24:00;20.39596;8.197443;90.870351
           2018-07-01 08:34:00;20.412598;8.157997;90.462794
           2018-07-01 08:44:00;20.429236;8.174273;90.673047
