Site Name ,ST2 1 OV BUND
Site Number ,2
Logger ,Integrating Light Sensor
Logger Serial Number ,50364


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,03/04/2017 , 15:10:10,58,58
2,03/04/2017 , 15:20:10,34,34
3,03/04/2017 , 15:30:10,17,17
4,03/04/2017 , 15:40:10,12,12
5,03/04/2017 , 15:50:10,15,15
6,03/04/2017 , 16:00:10,14,14
7,03/04/2017 , 16:10:10,17,17
8,03/04/2017 , 16:20:10,17,17
9,03/04/2017 , 16:30:10,21,21
10,03/04/2017 , 16:40:10,24,24
11,03/04/2017 , 16:50:10,27,27
12,03/04/2017 , 17:00:10,15,15
13,03/04/2017 , 17:10:10,19,19
14,03/04/2017 , 17:20:10,17,17
15,03/04/2017 , 17:30:10,20,20
16,03/04/2017 , 17:40:10,11,11
17,03/04/2017 , 17:50:10,10,10
18,03/04/2017 , 18:00:10,9,9
19,03/04/2017 , 18:10:10,7,7
20,03/04/2017 , 18:20:10,5,5
21,03/04/2017 , 18:30:10,5,5
22,03/04/2017 , 18:40:10,5,5
23,03/04/2017 , 18:50:10,3,3
24,03/04/2017 , 19:00:10,3,3
25,03/04/2017 , 19:10:10,2,2
26,03/04/2017 , 19:20:10,1,1
27,03/04/2017 , 19:30:10,2,2
28,03/04/2017 , 19:40:10,1,1
29,03/04/2017 , 19:50:10,1,1
30,03/04/2017 , 20:00:10,0,0
31,03/04/2017 , 20:10:10,1,1
32,03/04/2017 , 20:20:10,0,0
33,03/04/2017 , 20:30:10,1,1
34,03/04/2017 , 20:40:10,4,4
35,03/04/2017 , 20:50:10,4,4
36,03/04/2017 , 21:00:10,5,5
37,03/04/2017 , 21:10:10,7,7
38,03/04/2017 , 21:20:10,7,7
39,03/04/2017 , 21:30:10,7,7
40,03/04/2017 , 21:40:10,7,7
41,03/04/2017 , 21:50:10,7,7
42,03/04/2017 , 22:00:10,7,7
43,03/04/2017 , 22:10:10,7,7
44,03/04/2017 , 22:20:10,7,7
45,03/04/2017 , 22:30:10,7,7
46,03/04/2017 , 22:40:10,7,7
47,03/04/2017 , 22:50:10,7,7
48,03/04/2017 , 23:00:10,7,7
49,03/04/2017 , 23:10:10,2,2
50,03/04/2017 , 23:20:10,0,0
51,03/04/2017 , 23:30:10,0,0
52,03/04/2017 , 23:40:10,0,0
53,03/04/2017 , 23:50:10,0,0
54,04/04/2017 , 00:00:10,0,0
55,04/04/2017 , 00:10:10,0,0
56,04/04/2017 , 00:20:10,0,0
57,04/04/2017 , 00:30:10,0,0
58,04/04/2017 , 00:40:10,0,0
59,04/04/2017 , 00:50:10,0,0
60,04/04/2017 , 01:00:10,0,0
61,04/04/2017 , 01:10:10,0,0
62,04/04/2017 , 01:20:10,0,0
63,04/04/2017 , 01:30:10,0,0
64,04/04/2017 , 01:40:10,0,0
65,04/04/2017 , 01:50:10,0,0
66,04/04/2017 , 02:00:10,0,0
67,04/04/2017 , 02:10:10,0,0
68,04/04/2017 , 02:20:10,0,0
69,04/04/2017 , 02:30:10,0,0
70,04/04/2017 , 02:40:10,0,0
71,04/04/2017 , 02:50:10,0,0
72,04/04/2017 , 03:00:10,0,0
73,04/04/2017 , 03:10:10,0,0
74,04/04/2017 , 03:20:10,0,0
75,04/04/2017 , 03:30:10,0,0
76,04/04/2017 , 03:40:10,0,0
77,04/04/2017 , 03:50:10,0,0
78,04/04/2017 , 04:00:10,0,0
79,04/04/2017 , 04:10:10,0,0
80,04/04/2017 , 04:20:10,0,0
81,04/04/2017 , 04:30:10,0,0
82,04/04/2017 , 04:40:10,0,0
83,04/04/2017 , 04:50:10,0,0
84,04/04/2017 , 05:00:10,0,0
85,04/04/2017 , 05:10:10,0,0
86,04/04/2017 , 05:20:10,0,0
87,04/04/2017 , 05:30:10,0,0
88,04/04/2017 , 05:40:10,0,0
89,04/04/2017 , 05:50:10,0,0
90,04/04/2017 , 06:00:10,0,0
91,04/04/2017 , 06:10:10,0,0
92,04/04/2017 , 06:20:10,0,0
93,04/04/2017 , 06:30:10,0,0
94,04/04/2017 , 06:40:10,0,0
95,04/04/2017 , 06:50:10,0,0
96,04/04/2017 , 07:00:10,0,0
97,04/04/2017 , 07:10:10,0,0
98,04/04/2017 , 07:20:10,1,1
99,04/04/2017 , 07:30:10,1,1
100,04/04/2017 , 07:40:10,1,1
101,04/04/2017 , 07:50:10,3,3
102,04/04/2017 , 08:00:10,5,5
103,04/04/2017 , 08:10:10,5,5
104,04/04/2017 , 08:20:10,6,6
105,04/04/2017 , 08:30:10,6,6
106,04/04/2017 , 08:40:10,8,8
107,04/04/2017 , 08:50:10,8,8
108,04/04/2017 , 09:00:10,8,8
109,04/04/2017 , 09:10:10,10,10
110,04/04/2017 , 09:20:10,1593,1593
111,04/04/2017 , 09:30:10,4182,4182
