         Central European Time;   Temperature;  Dissolved Oxygen;  Dissolved Oxygen Saturation
           2017-07-01 00:01:00;15.805096;8.285809;83.650532
           2017-07-01 00:11:00;15.796591;7.96098;80.356621
           2017-07-01 00:21:00;15.788086;8.284092;83.602907
           2017-07-01 00:31:00;15.788086;8.202536;82.779846
           2017-07-01 00:41:00;15.771074;8.275548;83.486421
           2017-07-01 00:51:00;15.771074;8.1941;82.664747
           2017-07-01 01:01:00;15.754059;8.125289;81.940846
           2017-07-01 01:11:00;15.754059;8.085317;81.537741
           2017-07-01 01:21:00;15.754059;8.072045;81.403898
           2017-07-01 01:31:00;15.754059;8.065418;81.337067
           2017-07-01 01:41:00;15.745551;8.028273;80.947792
           2017-07-01 01:51:00;15.728533;8.013498;80.769511
           2017-07-01 02:01:00;15.720024;7.950539;80.120398
           2017-07-01 02:11:00;15.720024;7.989729;80.51533
           2017-07-01 02:21:00;15.711513;7.907548;79.672701
           2017-07-01 02:31:00;15.703002;7.800818;78.583074
           2017-07-01 02:41:00;15.703002;7.79445;78.518925
           2017-07-01 02:51:00;15.694491;7.784144;78.40087
           2017-07-01 03:01:00;15.694491;7.645751;77.006994
           2017-07-01 03:11:00;15.685979;7.691863;77.45736
           2017-07-01 03:21:00;15.677466;7.638047;76.901461
           2017-07-01 03:31:00;15.668953;7.659105;77.099469
           2017-07-01 03:41:00;15.668953;7.615581;76.66134
           2017-07-01 03:51:00;15.660439;7.673973;77.2351
           2017-07-01 04:01:00;15.660439;7.525592;75.741711
           2017-07-01 04:11:00;15.651925;7.473108;75.199815
           2017-07-01 04:21:00;15.634894;7.423348;74.671935
           2017-07-01 04:31:00;15.634894;7.42937;74.732511
           2017-07-01 04:41:00;15.626378;7.40161;74.439732
           2017-07-01 04:51:00;15.617861;7.320415;73.609743
           2017-07-01 05:01:00;15.609344;7.36432;74.037753
           2017-07-01 05:11:00;15.600826;7.560384;75.995066
           2017-07-01 05:21:00;15.600826;7.566531;76.056854
           2017-07-01 05:31:00;15.592307;7.495465;75.328803
           2017-07-01 05:41:00;15.592307;7.556591;75.943114
           2017-07-01 05:51:00;15.583788;7.41914;74.548169
           2017-07-01 06:01:00;15.600826;7.541976;75.810034
           2017-07-01 06:11:00;15.609344;7.509073;75.493039
