         Central European Time;   Temperature;  Dissolved Oxygen;  Dissolved Oxygen Saturation
           2018-08-07 14:33:00;24.704731;4.760013;57.328492
           2018-08-07 14:43:00;22.140566;5.297117;60.78631
           2018-08-07 14:53:00;22.016067;5.692397;65.166037
           2018-08-07 15:03:00;22.281653;5.962745;68.610208
           2018-08-07 15:13:00;22.148866;5.60347;64.312077
           2018-08-07 15:23:00;21.667403;5.103121;58.028135
           2018-08-07 15:33:00;21.542852;4.821193;54.690156
           2018-08-07 15:43:00;21.750428;5.276456;60.095592
           2018-08-07 15:53:00;21.999466;5.595059;64.031247
           2018-08-07 16:03:00;21.75873;5.124489;58.374149
           2018-08-07 16:13:00;22.032668;5.490429;62.874018
           2018-08-07 16:23:00;22.406132;5.928532;68.379416
           2018-08-07 16:33:00;22.572093;5.939456;68.723098
           2018-08-07 16:43:00;22.821017;6.37301;74.090207
           2018-08-07 16:53:00;22.937177;6.41181;74.706017
           2018-08-07 17:03:00;22.887395;6.033553;70.232382
           2018-08-07 17:13:00;22.613582;5.338028;61.813141
           2018-08-07 17:23:00;22.389536;5.40825;62.358693
           2018-08-07 17:33:00;22.289952;5.258173;60.512693
           2018-08-07 17:43:00;22.132267;4.689408;53.80405
           2018-08-07 17:53:00;21.916459;3.912766;44.707093
           2018-08-07 18:03:00;21.717219;3.794877;43.19357
           2018-08-07 18:13:00;21.551156;3.445699;39.093263
           2018-08-07 18:23:00;21.476418;3.347821;37.927743
           2018-08-07 18:33:00;21.459808;3.394268;38.441545
           2018-08-07 18:43:00;21.426589;3.342396;37.829653
           2018-08-07 18:53:00;21.376757;3.758398;42.496833
           2018-08-07 19:03:00;21.434894;3.502178;39.644482
           2018-08-07 19:13:00;21.393368;3.562179;40.291162
           2018-08-07 19:23:00;21.409978;3.630772;41.080266
           2018-08-07 19:33:00;21.434894;3.513697;39.774877
           2018-08-07 19:43:00;21.451504;3.287415;37.225384
           2018-08-07 19:53:00;21.493027;2.64593;29.985628
           2018-08-07 20:03:00;21.733824;3.444306;39.215937
           2018-08-07 20:13:00;22.746342;5.353397;62.148184
           2018-08-07 20:23:00;23.659021;6.537183;77.212266
           2018-08-07 20:33:00;24.09052;7.135204;84.959377
           2018-08-07 20:43:00;24.239904;7.365702;87.948581
           2018-08-07 20:53:00;24.4557;7.715703;92.498178
           2018-08-07 21:03:00;24.513804;7.734595;92.824717
           2018-08-07 21:13:00;24.513804;1.679273;20.153355
           2018-08-07 21:23:00;24.464;2.37668;28.496749
           2018-08-07 21:33:00;24.372698;2.894508;34.646763
           2018-08-07 21:43:00;24.405898;3.092712;37.042082
